Timeline.ordinal,database_id,subid,type,trial,target,person,utterance,selection
0,8331,73,practice,1,apple,parent,"okay, I'm the leader right now and it's a fruit, it's red, you bite it, but you can't really bite good cause you don't have any teeth, what kind of fruit is it?",
1,8331,73,practice,1,apple,child,apple,
2,8331,73,practice,1,apple,parent,that's right,
3,8331,73,practice,1,apple,child,,child
43,8331,73,practice,4,apple,child,"something is red and you bite it, it- it 2also has a stump on the top and it has a xxx",
44,8331,73,practice,4,apple,parent,is it an apple?,
45,8331,73,practice,4,apple,child,yes,
46,8331,73,practice,4,apple,parent,,parent
6,8331,73,practice,2,artichoke,child,it's something has like- it's little like-,
7,8331,73,practice,2,artichoke,parent,crinckles?,
8,8331,73,practice,2,artichoke,child,yeah,
9,8331,73,practice,2,artichoke,parent,"umm, is it an artichoke?",
10,8331,73,practice,2,artichoke,child,uh it has a stump on the bottom,
11,8331,73,practice,2,artichoke,parent,it has a stub at the bottom?,
12,8331,73,practice,2,artichoke,child,a stump,
13,8331,73,practice,2,artichoke,parent,a stump at the bottom,
14,8331,73,practice,2,artichoke,parent,"it's a vegetable, right?",
15,8331,73,practice,2,artichoke,child,yeah,
17,8331,73,practice,2,artichoke,parent,"that's called an artichoke, mommy doesn't usually cook with them cause they're really expensive",
18,8331,73,practice,2,artichoke,child,so you pressed it?,
19,8331,73,practice,2,artichoke,parent,mhm,
20,8331,73,practice,2,artichoke,parent,,parent
49,8331,73,practice,5,artichoke,parent,"uhh I just said it, it starts with an 'A', mommy says she doesn't buy it cause it's really expensive sometimes",
50,8331,73,practice,5,artichoke,child,apple! apple!,
51,8331,73,practice,5,artichoke,parent,"no, no no, not the apple it's a vegetable",
52,8331,73,practice,5,artichoke,child,what,
53,8331,73,practice,5,artichoke,parent,"it's the prickly, what I just said",
54,8331,73,practice,5,artichoke,child,I cannot remember,
55,8331,73,practice,5,artichoke,parent,"you cannot remember? okay, next time we gonna go to the store I'm gonna pick out all the stuff and I'm gonna start cooking more with the stuff",
56,8331,73,practice,5,artichoke,parent,artichoke,
57,8331,73,practice,5,artichoke,child,artichoke,
58,8331,73,practice,5,artichoke,child,,child
21,8331,73,practice,3,onion,parent,"okay, so, it's, it's a vegetable, it's something that mommy uses for her pastas-- for my pastas and soups, I chop it up and it sometimes makes me cry, it can be uh white or yellow",
