iterationName,id,wID,aID,utterance,rt,target_type,competitor_type,target,foil,trial_type,trial_index,time_elapsed,age_group,age,button_pressed,utt_length,clean_utt
pilot2,adult_1,1,3CFJTT4SXUF1D2GSR28PLOG55D4I71,blue shirt,8417.695000011008,familiar,isolated,poloshirt.jpg,hawaiishirt.jpg,survey-text,3,41912,adult,NA,NA,10,blueshirt
pilot2,adult_1,1,3CFJTT4SXUF1D2GSR28PLOG55D4I71,bear,4069.310000020778,familiar,isolated,grizzlybear.jpg,polarbear.jpg,survey-text,4,46484,adult,NA,NA,4,bear
pilot2,adult_1,1,3CFJTT4SXUF1D2GSR28PLOG55D4I71,table,5345.834999985527,familiar,isolated,diningtable.jpg,picnictable.jpg,survey-text,5,52340,adult,NA,NA,5,table
pilot2,adult_1,1,3CFJTT4SXUF1D2GSR28PLOG55D4I71,german shepard,7552.990000025602,familiar,isolated,germanshepherd.jpg,pug.jpg,survey-text,6,60410,adult,NA,NA,14,germanshepard
pilot2,adult_1,1,3CFJTT4SXUF1D2GSR28PLOG55D4I71,bird,3847.964999993565,familiar,isolated,sparrow.jpg,eagle.jpg,survey-text,7,64759,adult,NA,NA,4,bird
pilot2,adult_1,1,3CFJTT4SXUF1D2GSR28PLOG55D4I71,candy,4228.040000016335,familiar,isolated,mnms.jpg,gummybears.jpg,survey-text,8,69489,adult,NA,NA,5,candy
pilot2,adult_1,1,3CFJTT4SXUF1D2GSR28PLOG55D4I71,goldfish,5104.135000001406,familiar,isolated,goldfish.jpg,swordfish.jpg,survey-text,9,75095,adult,NA,NA,8,goldfish
pilot2,adult_1,1,3CFJTT4SXUF1D2GSR28PLOG55D4I71,sedan,8618.155000003753,familiar,isolated,sedan.jpg,sportscar.jpg,survey-text,10,84215,adult,NA,NA,5,sedan
pilot2,adult_1,1,3CFJTT4SXUF1D2GSR28PLOG55D4I71,kicking,7656.719999999041,tangram,far,tangram-48.jpg,D1.jpg,survey-text,12,100567,adult,NA,NA,7,kick
pilot2,adult_1,1,3CFJTT4SXUF1D2GSR28PLOG55D4I71,high kick,8973.529999988386,tangram,far,tangram-164.jpg,tangram-64.jpg,survey-text,13,110044,adult,NA,NA,9,highkick
pilot2,adult_1,1,3CFJTT4SXUF1D2GSR28PLOG55D4I71,triangle dance,12892.59000000311,tangram,far,tangram-90.jpg,tangram-120.jpg,survey-text,14,123440,adult,NA,NA,14,triangledance
pilot2,adult_1,1,3CFJTT4SXUF1D2GSR28PLOG55D4I71,beggar,8926.529999997001,tangram,far,H1.jpg,tangram-8.jpg,survey-text,15,132870,adult,NA,NA,6,beggar
pilot2,adult_1,1,3CFJTT4SXUF1D2GSR28PLOG55D4I71,overhead throw,11590.820000012172,tangram,far,A2.jpg,C1.jpg,survey-text,16,144968,adult,NA,NA,14,overheadthrow
pilot2,adult_1,1,3CFJTT4SXUF1D2GSR28PLOG55D4I71,sneaky sprint,7184.650000010151,tangram,far,tangram-55.jpg,tangram-143.jpg,survey-text,17,152655,adult,NA,NA,13,sneakysprint
pilot2,adult_1,1,3CFJTT4SXUF1D2GSR28PLOG55D4I71,dejected walk,7025.660000013886,tangram,far,B1.jpg,tangram-4.jpg,survey-text,18,160183,adult,NA,NA,13,dejectwalk
pilot2,adult_1,1,3CFJTT4SXUF1D2GSR28PLOG55D4I71,triangle sprinting,16845.984999992652,tangram,far,tangram-67.jpg,G1.jpg,survey-text,19,177531,adult,NA,NA,18,trianglesprint
pilot2,adult_1,1,3CFJTT4SXUF1D2GSR28PLOG55D4I71,blue polo,7947.950000001583,familiar,close,poloshirt.jpg,hawaiishirt.jpg,survey-text,21,192201,adult,NA,NA,9,bluepolo
pilot2,adult_1,1,3CFJTT4SXUF1D2GSR28PLOG55D4I71,blue sedan,5616.970000002766,familiar,close,sedan.jpg,sportscar.jpg,survey-text,22,198323,adult,NA,NA,10,bluesedan
pilot2,adult_1,1,3CFJTT4SXUF1D2GSR28PLOG55D4I71,brown bear,5187.514999997802,familiar,close,grizzlybear.jpg,polarbear.jpg,survey-text,23,204013,adult,NA,NA,10,brownbear
pilot2,adult_1,1,3CFJTT4SXUF1D2GSR28PLOG55D4I71,coated candies,11335.445000004256,familiar,close,mnms.jpg,gummybears.jpg,survey-text,24,215854,adult,NA,NA,14,coatcandy
pilot2,adult_1,1,3CFJTT4SXUF1D2GSR28PLOG55D4I71,small bird,6308.450000011362,familiar,close,sparrow.jpg,eagle.jpg,survey-text,25,222674,adult,NA,NA,10,smallbird
pilot2,adult_1,1,3CFJTT4SXUF1D2GSR28PLOG55D4I71,wide table,6811.959999991814,familiar,close,diningtable.jpg,picnictable.jpg,survey-text,26,229989,adult,NA,NA,10,widetable
pilot2,adult_1,1,3CFJTT4SXUF1D2GSR28PLOG55D4I71,german shepard,6088.600000017323,familiar,close,germanshepherd.jpg,pug.jpg,survey-text,27,236580,adult,NA,NA,14,germanshepard
pilot2,adult_1,1,3CFJTT4SXUF1D2GSR28PLOG55D4I71,goldfish,4066.544999979669,familiar,close,goldfish.jpg,swordfish.jpg,survey-text,28,241149,adult,NA,NA,8,goldfish
